DATE (UTC),TIME (UTC),USER,HOSTNAME,ARTIFACT,WHAT HAPPENED,SOURCE,COMMENTS
2025-04-24,13:57:54,site\liam.sherman,acc-win10-16.site.lan,LNK Files - Second Interaction,Internet Folder\ms-gamingoverlay://kglcheck/,KAPE - LNK Files,File Activity and File Knowledge
2025-04-24,13:57:54,site\liam.sherman,acc-win10-16.site.lan,LNK Files - Second Interaction,Internet Folder,KAPE - LNK Files,File Activity and File Knowledge
2025-04-24,13:59:12,site\liam.sherman,acc-win10-16.site.lan,LNK Files -First Interaction,This PC\S:,KAPE - LNK Files,File Activity and File Knowledge
2025-04-24,13:59:12,site\liam.sherman,acc-win10-16.site.lan,LNK Files - Second Interaction,This PC\S:,KAPE - LNK Files,File Activity and File Knowledge
2025-06-13,14:54:33,site\liam.sherman,acc-win10-16.site.lan,Shellbags - First Interaction,Desktop\Quick Access,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-13,14:54:35,site\liam.sherman,acc-win10-16.site.lan,Shellbags - Last Interaction,Desktop\My Computer\S:\Software,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-13,14:54:41,site\liam.sherman,acc-win10-16.site.lan,Shellbags - First Interaction,Desktop\My Computer\S:\Software\IR Forensic Software\Installers\ramcapturex64,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-13,14:54:41,site\liam.sherman,acc-win10-16.site.lan,Shellbags - Last Interaction,Desktop\My Computer\S:\Software\IR Forensic Software\Installers\ramcapturex64,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-13,14:54:48,site\liam.sherman,acc-win10-16.site.lan,Shellbags - Last Interaction,Desktop\My Computer\C:\temp,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-13,14:55:01,site\liam.sherman,acc-win10-16.site.lan,Shellbags - First Interaction,Desktop\My Computer\C:\temp\ram_capture_x64,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-13,15:08:34,site\liam.sherman,acc-win10-16.site.lan,Shellbags - Last Interaction,Desktop\My Computer\S:\Software\Evidence\Teaching_Scenario,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-13,15:08:51,site\liam.sherman,acc-win10-16.site.lan,Shellbags - Last Interaction,Desktop\My Computer\S:\Software\IR Forensic Software\Hunt Tools,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-13,15:08:53,site\liam.sherman,acc-win10-16.site.lan,Shellbags - Last Interaction,Desktop\My Computer\S:\Software\IR Forensic Software\Hunt Tools\kape,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-13,15:08:54,site\liam.sherman,acc-win10-16.site.lan,Shellbags - First Interaction,Desktop\My Computer\S:\Software\IR Forensic Software\Hunt Tools\kape\KAPE,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-13,15:08:54,site\liam.sherman,acc-win10-16.site.lan,Shellbags - Last Interaction,Desktop\My Computer\S:\Software\IR Forensic Software\Hunt Tools\kape\KAPE,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-13,15:09:41,site\liam.sherman,acc-win10-16.site.lan,Shellbags - First Interaction,Desktop\My Computer\C:\temp\KAPE,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-13,15:22:31,site\liam.sherman,acc-win10-16.site.lan,Shellbags - First Interaction,Desktop\My Computer\S:\Software\Evidence\Teaching_Scenario\ACC-Win10-16,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-13,15:22:48,site\liam.sherman,acc-win10-16.site.lan,Shellbags - First Interaction,Desktop\My Computer\C:\temp\ramcapturex64,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-13,15:24:51,site\liam.sherman,acc-win10-16.site.lan,Shellbags - First Interaction,Desktop\My Computer\C:\temp\KAPE_acc-win10-16,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
2025-06-14,22:53:04,site\liam.sherman,acc-win10-16.site.lan,Shellbags - First Interaction,Desktop\E:\,KAPE - USRCLASS.DAT,Folder Activity and Folder Knowledge
